[5/14/2026 2:09 PM] Alex S: [13:45:41] [QUERY] CMD: 010C | RES: 410C164F 
[13:45:41] [QUERY] CMD: 0105 | RES: 41057F 
[13:45:41] [QUERY] CMD: 0111 | RES: 41113A 
[13:45:41] [QUERY] CMD: 010D | RES: 410D2E 
[13:45:42] [QUERY] CMD: 010C | RES: 410C1480 
[13:45:42] [QUERY] CMD: 0105 | RES: 41057F 
[13:45:42] [QUERY] CMD: 015E | RES: NO DATA 
[13:45:42] [QUERY] CMD: 0104 | RES: 41044F 
[13:45:42] [QUERY] CMD: 010F | RES: 410F42 
[13:45:42] [QUERY] CMD: 0111 | RES: 41112A 
[13:45:43] [QUERY] CMD: 010D | RES: 410D2D 
[13:45:43] [QUERY] CMD: 010C | RES: 410C11B8 
[13:45:43] [QUERY] CMD: 0105 | RES: 41057F 
[13:45:43] [QUERY] CMD: 0111 | RES: 41113C 
[13:45:43] [QUERY] CMD: 010D | RES: 410D2C 
[13:45:43] [QUERY] CMD: 010C | RES: 410C1347 
[13:45:43] [QUERY] CMD: 0105 | RES: 41057F 
[13:45:44] [QUERY] CMD: 0111 | RES: 411142 
[13:45:44] [QUERY] CMD: 010D | RES: 410D2B 
[13:45:44] [QUERY] CMD: 010C | RES: 410C1668 
[13:45:44] [QUERY] CMD: 0105 | RES: 41057F 
[13:45:44] [QUERY] CMD: 0111 | RES: 411147 
[13:45:44] [QUERY] CMD: 010D | RES: 410D2B 
[13:45:44] [QUERY] CMD: 010C | RES: 410C197D 
[13:45:44] [QUERY] CMD: 0105 | RES: 41057F 
[13:45:45] [QUERY] CMD: 0111 | RES: 411145 
[13:45:45] [QUERY] CMD: 010D | RES: 410D2B 
[13:45:45] [QUERY] CMD: 010C | RES: 410C1A30 
[13:45:45] [QUERY] CMD: 0105 | RES: 41057F 
[13:45:45] [QUERY] CMD: 0111 | RES: 411143 
[13:45:45] [QUERY] CMD: 010D | RES: 410D2B 
[13:45:45] [QUERY] CMD: 010C | RES: 410C19FC 
[13:45:46] [QUERY] CMD: 0105 | RES: 41057F 
[13:45:46] [QUERY] CMD: 0111 | RES: 41112C 
[13:45:46] [QUERY] CMD: 010D | RES: 410D2B 
[13:45:46] [QUERY] CMD: 010C | RES: 410C1843 
[13:45:46] [QUERY] CMD: 0105 | RES: 41057F 
[13:45:46] [QUERY] CMD: 0111 | RES: 411126 
[13:45:46] [QUERY] CMD: 010D | RES: 410D2A 
[13:45:47] [QUERY] CMD: 010C | RES: 410C1784 
[13:45:47] [QUERY] CMD: 0105 | RES: 41057F 
[13:45:47] [QUERY] CMD: 0111 | RES: 411126 
[13:45:47] [QUERY] CMD: 010D | RES: 410D29 
[13:45:47] [QUERY] CMD: 010C | RES: 410C1747 
[13:45:47] [QUERY] CMD: 0105 | RES: 410580 
[13:45:48] [QUERY] CMD: 0111 | RES: 411136 
[13:45:48] [QUERY] CMD: 010D | RES: 410D28 
[13:45:48] [QUERY] CMD: 010C | RES: 410C15E5 
[13:45:48] [QUERY] CMD: 0105 | RES: 410580 
[13:45:48] [QUERY] CMD: 015E | RES: NO DATA 
[13:45:48] [QUERY] CMD: 0104 | RES: 4104BB 
[13:45:49] [QUERY] CMD: 010F | RES: 410F42 
[13:45:49] [QUERY] CMD: 0111 | RES: 411141 
[13:45:49] [QUERY] CMD: 010D | RES: 410D28 
[13:45:49] [QUERY] CMD: 010C | RES: 410C1803 
[13:45:49] [QUERY] CMD: 0105 | RES: 410580 
[13:45:49] [QUERY] CMD: 0111 | RES: 411138 
[13:45:49] [QUERY] CMD: 010D | RES: 410D28 
[13:45:50] [QUERY] CMD: 010C | RES: 410C1712 
[13:45:50] [QUERY] CMD: 0105 | RES: 410580 
[13:45:50] [QUERY] CMD: 0111 | RES: 41112E 
[13:45:50] [QUERY] CMD: 010D | RES: 410D27 
[13:45:50] [QUERY] CMD: 010C | RES: 410C15D9 
[13:45:50] [QUERY] CMD: 0105 | RES: 410580 
[13:45:50] [QUERY] CMD: 0111 | RES: 411143 
